,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
273,2021-05-08,CAN,14772158,13519160.0,1252998.0,38.87,35.57,3.3,,,,,,
274,2021-05-08,NL,193584,183911.0,9673.0,37.08,35.23,1.85,,,,,,
275,2021-05-08,PEI,52598,41662.0,10936.0,32.95,26.1,6.85,,,,,,
276,2021-05-08,NS,326139,288440.0,37699.0,33.3,29.45,3.85,,,,,,
277,2021-05-08,NB,277729,247489.0,30240.0,35.54,31.67,3.87,,,,,,
278,2021-05-08,QC,3538616,3363699.0,174917.0,41.27,39.23,2.04,,,,,,
279,2021-05-08,ON,5754150,5361156.0,392994.0,39.05,36.39,2.67,,,,,,
280,2021-05-08,MB,473652,397891.0,75761.0,34.34,28.85,5.49,,,,,,
281,2021-05-08,SK,481722,435342.0,46380.0,40.87,36.93,3.93,,,,,,
282,2021-05-08,AB,1556400,1246471.0,309929.0,35.2,28.19,7.01,,,,,,
283,2021-05-08,BC,2048120,1941844.0,106276.0,39.79,37.72,2.06,,,,,,
284,2021-05-08,YT,25731,2914.0,22817.0,61.19,6.93,54.26,,,,,,
285,2021-05-08,NT,27303,4804.0,22499.0,60.46,10.64,49.82,,,,,,
286,2021-05-08,NU,16414,3537.0,12877.0,41.71,8.99,32.72,,,,,,
287,2021-05-15,CAN,17140068,15621663.0,1518405.0,45.1,41.1,4.0,,,,,,
288,2021-05-15,NL,225770,215889.0,9881.0,43.24,41.35,1.89,,,,,,
289,2021-05-15,PEI,62125,50371.0,11754.0,38.92,31.56,7.36,,,,,,
290,2021-05-15,NS,388511,349306.0,39205.0,39.67,35.67,4.0,,,,,,
291,2021-05-15,NB,323355,289961.0,33394.0,41.38,37.1,4.27,,,,,,
292,2021-05-15,QC,4073238,3718773.0,354465.0,47.5,43.37,4.13,,,,,,
293,2021-05-15,ON,6638361,6208493.0,429868.0,45.05,42.14,2.92,,,,,,
294,2021-05-15,MB,560533,479650.0,80883.0,40.64,34.78,5.86,,,,,,
